	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_02174	10	12	15	20	17	4	10	13	19	9	16	12	11	12	11	9	9	12
STN4L_02175	6	3	3	4	9	6	1	1	5	7	1	5	2	2	2	6	4	1
STN4L_02176	95	121	65	70	68	81	79	90	112	112	82	111	137	145	115	102	89	72
STN4L_02177	15087	10115	10685	15506	9733	10834	8973	6309	8936	12303	7268	9044	10504	12388	10823	9793	7255	8395
STN4L_02178	36909	23041	23533	34497	22385	21856	18043	14035	18457	26423	18918	21025	20557	24322	20515	14882	13134	16386
STN4L_02179	73000	61924	53505	56304	45287	40513	19692	18267	17911	64711	48556	55368	46323	50275	37869	12389	15165	12074
STN4L_02180	22633	16442	17282	23068	17474	17251	24599	17406	26467	17178	12954	16481	18517	24837	21083	37160	37445	35612
STN4L_02181	1799	1488	1529	2328	1967	1988	6284	3453	6562	2148	1779	2164	2186	2740	2699	8764	6975	8055
STN4L_02182	710	635	643	1077	858	831	2769	1332	2898	1225	881	1329	890	983	1146	5470	2944	4084
STN4L_02183	234	223	216	373	292	301	712	360	938	414	279	395	216	253	273	1269	613	1034
STN4L_02184	24	32	20	34	31	39	113	82	107	50	19	49	34	27	38	84	78	82
STN4L_02185	27	48	29	36	43	45	104	88	123	57	40	38	48	48	52	136	102	84
STN4L_02186	116	88	81	131	115	105	225	200	273	104	71	109	105	128	82	230	249	205
